City,Temperature,Feels Like,Humidity,Pressure,Description,Wind Speed,Unit,Served From Cache,Timestamp
Moscow,-0.58,-4.6,68,1020,broken clouds,3.48,celsius,False,2025-11-19T23:58:29.164570
Moscow,-0.58,-4.6,68,1020,broken clouds,3.48,celsius,False,2025-11-19T23:53:21.448662
